FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
180610;0;306;;
180611;0;210;;
180612;0;350;;
180613;0;261;;
180614;0;239;;
180615;0;90;;
180616;0;76;;
180617;0;107;;
180618;0;85;;
180619;0;38;;
180620;0;52;;
180621;0;39;;
180622;0;68;;
180623;0;84;;
180624;0;36;;
180625;0;63;;
180626;0;57;;
180627;0;66;;
180628;0;59;;
180629;0;53;;
180630;0;100;;
180701;0;91;;
180702;0;207;;
180703;0;370;;
180704;0;224;;
180705;0;126;;
180706;0;205;;
180707;0;286;;
180708;0;264;;
180709;0;373;;
180710;0;119;;
180711;0;83;;
180712;0;60;;
180713;0;78;;
180714;0;78;;
180715;0;96;;
180716;0;58;;
180717;0;110;;
180718;0;45;;
180719;0;53;;
180720;0;89;;
180721;0;65;;
180722;0;53;;
180723;0;37;;
180724;0;94;;
180725;0;111;;
180726;0;370;;
180727;0;116;;
180728;0;37;;
180729;0;29;;
180730;0;41;;
180731;0;23;;
180801;0;84;;
180802;0;206;;
180803;0;34;;
180804;0;51;;
180805;0;38;;
180806;0;90;;
180807;0;76;;
180808;0;147;;
180809;0;132;;
180810;0;133;;
180811;0;217;;
180812;0;177;;
180813;0;83;;
180814;0;29;;
180815;0;26;;
180816;0;31;;
180817;0;48;;
180818;0;51;;
180819;0;43;;
180820;0;107;;
180821;0;93;;
180822;0;99;;
180823;0;32;;
180824;0;48;;
180825;0;46;;
180826;0;26;;
180827;0;25;;
180828;0;55;;
180829;0;60;;
180830;0;134;;
180831;0;218;;
180901;0;75;;
180902;0;30;;
180903;0;70;;
180904;0;;;
180905;0;91;;
180906;0;26;;
180907;0;27;;
180908;0;30;;
180909;0;60;;
180910;0;55;;
180911;0;24;;
180912;0;18;;
180913;0;15;;
180914;0;19;;
180915;0;26;;
180916;0;37;;
180917;0;27;;
180918;0;31;;
180919;0;33;;
180920;0;43;;
180921;0;30;;
180922;0;35;;
180923;0;26;;
180924;0;55;;
180925;0;55;;
180926;0;35;;
180927;0;57;;
180928;0;35;;
180929;0;43;;
180930;0;33;;
181001;0;25;;
181002;0;21;;
181003;0;37;;
181004;0;23;;
181005;0;60;;
181006;0;25;;
181007;0;29;;
181008;0;27;;
181009;0;28;;
181010;0;26;;
181011;0;23;;
181012;0;17;;
181013;0;11;;
181014;0;13;;
181015;0;20;;
181016;0;86;;
181017;0;53;;
181018;0;19;;
181019;0;21;;
181020;0;40;;
181021;0;22;;
181022;0;40;;
181023;0;83;;
181024;0;47;;
181025;0;21;;
181026;0;18;;
181027;0;17;;
181028;0;14;;
181029;0;9;;
181030;0;25;;
181031;0;42;;
181101;0;28;;
181102;0;20;;
181103;0;15;;
181104;0;15;;
181105;0;31;;
181106;0;30;;
181107;0;22;;
181108;0;18;;
181109;0;32;;
181110;0;29;;
181111;0;16;;
181112;0;10;;
181113;0;9;;
181114;0;12;;
181115;0;12;;
181116;0;11;;
181117;0;9;;
181118;0;;;
181119;0;;;
181120;0;22;;
181121;0;32;;
181122;0;13;;
181123;0;10;;
181124;0;11;;
181125;0;17;;
181126;0;13;;
181127;0;9;;
181128;0;7;;
181129;0;8;;
181130;0;11;;
181201;0;13;;
181202;0;8;;
181203;0;9;;
181204;0;7;;
181205;0;14;;
181206;0;7;;
181207;0;6;;
181208;0;5;;
181209;0;4;;
181210;0;7;;
181211;0;7;;
181212;0;7;;
181213;0;10;;
181214;0;9;;
181215;0;6;;
181216;0;8;;
181217;0;11;;
181218;0;7;;
181219;0;6;;
181220;0;5;;
181221;0;6;;
181222;0;8;;
181223;0;7;;
181224;0;9;;
181225;0;9;;
181226;0;7;;
181227;0;5;;
181228;0;6;;
181229;0;10;;
181230;0;6;;
181231;0;13;;
190101;0;16;;
190102;0;11;;
190103;0;5;;
190104;0;6;;
190105;0;7;;
190106;0;8;;
190107;0;16;;
190108;0;14;;
190109;0;15;;
190110;0;13;;
190111;0;12;;
190112;0;15;;
190113;0;12;;
190114;0;5;;
190115;0;11;;
190116;0;15;;
190117;0;8;;
190118;0;5;;
190119;0;5;;
190120;0;5;;
190121;0;13;;
190122;0;;;5
190123;0;;;2
190124;0;;;3
190125;0;;;10
190126;0;12;;
190127;0;6;;
190128;0;3;;
190129;0;9;;
190130;0;9;;
190131;0;8;;
190201;0;9;;
190202;0;15;;
190203;0;15;;
190204;0;15;;
190205;0;11;;
190206;0;13;;
190207;0;12;;
190208;0;11;;
190209;0;9;;
190210;0;14;;
190211;0;14;;
190212;0;14;;
190213;0;11;;
190214;0;8;;
190215;0;8;;
190216;0;11;;
190217;0;9;;
190218;0;10;;
190219;0;11;;
190220;0;15;;
190221;0;19;;
190222;0;25;;
190223;0;11;;
190224;0;24;;
190225;0;30;;
190226;0;20;;
190227;0;18;;
190228;0;25;;
190301;0;17;;
190302;0;;;
190303;0;18;;
190304;0;16;;
190305;0;21;;
190306;0;23;;
190307;0;25;;
190308;0;16;;
190309;0;17;;
190310;0;20;;
190311;0;11;;
190312;0;20;;
190313;0;26;;
190314;0;23;;
190315;0;27;;
190316;0;17;;
190317;0;12;;
190318;0;22;;
190319;0;44;;
190320;0;23;;
190321;0;25;;
190322;0;16;;
190323;0;15;;
190324;0;16;;
190325;0;46;;
190326;0;58;;
190327;0;38;;
190328;0;27;;
190329;0;17;;
190330;0;28;;
190331;0;13;;
190401;0;17;;
190402;0;11;;
190403;0;15;;
190404;0;14;;
190405;0;14;;
190406;0;17;;
190407;0;24;;
190408;0;17;;
190409;0;26;;
190410;0;18;;
190411;0;13;;
190412;0;26;;
190413;0;26;;
190414;0;20;;
190415;0;16;;
190416;0;44;;
190417;0;26;;
190418;0;27;;
190419;0;31;;
190420;0;17;;
190421;0;49;;
190422;0;47;;
190423;0;90;;
190424;0;191;;
190425;0;204;;
190426;0;72;;
190427;0;64;;
190428;0;29;;
190429;0;25;;
190430;0;29;;
190501;0;54;;
190502;0;46;;
190503;0;101;;
190504;0;63;;
190505;0;24;;
190506;0;44;;
190507;0;65;;
190508;0;132;;
190509;0;51;;
190510;0;30;;
190511;0;15;;
190512;0;23;;
190513;0;57;;
190514;0;81;;
190515;0;;;55
190516;0;;;
190517;0;;15;
190518;0;;9;
190519;0;;12;
190520;0;;11;
190521;0;;7;
190522;0;;8;
190523;0;;;7
190524;0;;;
190525;0;38;;
190526;0;54;;
190527;0;96;;
190528;0;140;;
190529;0;135;;
190530;0;98;;
190531;0;126;;
190601;0;159;;
190602;0;102;;
190603;0;151;;
190604;0;113;;
190605;0;87;;
190606;0;38;;
190607;0;26;;
190608;0;63;;
190609;0;48;;
190610;0;56;;
190611;0;61;;
190612;0;123;;
190613;0;71;;
190614;0;82;;
190615;0;82;;
190616;0;80;;
190617;0;109;;
190618;0;88;;
190619;0;72;;
190620;0;164;;
190621;0;83;;
190622;0;47;;
190623;0;53;;
190624;0;43;;
190625;0;42;;
190626;0;54;;
190627;0;132;;
190628;0;138;;
190629;0;91;;
190630;0;75;;
190701;0;55;;
190702;0;81;;
190703;0;111;;
190704;0;182;;
190705;0;33;;
190706;0;138;;
190707;0;259;;
190708;0;164;;
190709;0;216;;
190710;0;142;;
190711;0;199;;
190712;0;214;;
190713;0;175;;
190714;0;95;;
190715;0;53;;
190716;0;106;;
190717;0;108;;
190718;0;54;;
190719;0;49;;
190720;0;79;;
190721;0;64;;
190722;0;44;;
190723;0;47;;
190724;0;43;;
190725;0;85;;
190726;0;35;;
190727;0;70;;
190728;0;126;;
190729;0;156;;
190730;0;66;;
190731;0;69;;
190801;0;45;;
190802;0;31;;
190803;0;24;;
190804;0;38;;
190805;0;82;;
190806;0;27;;
190807;0;62;;
190808;0;62;;
190809;0;24;;
190810;0;80;;
190811;0;44;;
190812;0;51;;
190813;0;118;;
190814;0;102;;
190815;0;78;;
190816;0;78;;
190817;0;51;;
190818;0;118;;
190819;0;158;;
190820;0;29;;
190821;0;45;;
190822;0;94;;
190823;0;92;;
190824;0;66;;
190825;0;74;;
190826;0;34;;
190827;0;77;;
190828;0;44;;
190829;0;30;;
190830;0;28;;
190831;0;61;;
190901;0;46;;
190902;0;75;;
190903;0;39;;
190904;0;46;;
190905;0;60;;
190906;0;128;;
190907;0;76;;
190908;0;36;;
190909;0;103;;
190910;0;99;;
190911;0;29;;
190912;0;35;;
190913;0;53;;
190914;0;26;;
190915;0;30;;
190916;0;15;;
190917;0;14;;
190918;0;27;;
190919;0;17;;
190920;0;19;;
190921;0;23;;
190922;0;22;;
190923;0;14;;
190924;0;14;;
190925;0;23;;
190926;0;79;;
190927;0;56;;
190928;0;23;;
190929;0;21;;
190930;0;27;;
191001;0;36;;
191002;0;50;;
191003;0;32;;
191004;0;18;;
191005;0;23;;
191006;0;27;;
191007;0;16;;
191008;0;15;;
191009;0;15;;
191010;0;38;;
191011;0;26;;
191012;0;17;;
191013;0;20;;
191014;0;33;;
191015;0;24;;
191016;0;27;;
191017;0;13;;
191018;0;16;;
191019;0;14;;
191020;0;18;;
191021;0;26;;
191022;0;24;;
191023;0;30;;
191024;0;20;;
191025;0;17;;
191026;0;13;;
191027;0;28;;
191028;0;46;;
191029;0;19;;
191030;0;20;;
191031;0;23;;
191101;0;15;;
191102;0;8;;
191103;0;13;;
191104;0;15;;
191105;0;10;;
191106;0;14;;
191107;0;15;;
191108;0;19;;
191109;0;12;;
191110;0;11;;
191111;0;13;;
191112;0;7;;
191113;0;8;;
191114;0;11;;
191115;0;11;;
191116;0;14;;
191117;0;16;;
191118;0;11;;
191119;0;16;;
191120;0;17;;
191121;0;15;;
191122;0;23;;
191123;0;24;;
191124;0;9;;
191125;0;16;;
191126;0;15;;
191127;0;13;;
191128;0;14;;
191129;0;13;;
191130;0;17;;
191201;0;15;;
191202;0;13;;
191203;0;14;;
191204;0;10;;
191205;0;12;;
191206;0;16;;
191207;0;9;;
191208;0;6;;
191209;0;7;;
191210;0;14;;
191211;0;13;;
191212;0;12;;
191213;0;10;;
191214;0;10;;
191215;0;9;;
191216;0;11;;
191217;0;12;;
191218;0;14;;
191219;0;13;;
191220;0;12;;
191221;0;9;;
191222;0;16;;
191223;0;13;;
191224;0;15;;
191225;0;9;;
191226;0;15;;
191227;0;8;;
191228;0;15;;
191229;0;13;;
191230;0;9;;
191231;0;21;;
200101;0;14;;
200102;0;6;;
200103;0;5;;
200104;0;7;;
200105;0;8;;
200106;0;10;;
200107;0;14;;
200108;0;16;;
200109;0;14;;
200110;0;10;;
200111;0;8;;
200112;0;5;;
200113;0;7;;
200114;0;11;;
200115;0;9;;
200116;0;9;;
200117;0;6;;
200118;0;7;;
200119;0;5;;
200120;0;5;;
200121;0;;;4
200122;0;;;
200123;0;;;
200124;0;;;7
200125;0;5;;
200126;0;6;;
200127;0;7;;
200128;0;10;;
200129;0;10;;
200130;0;5;;
200131;0;5;;
200201;0;10;;
200202;0;10;;
200203;0;13;;
200204;0;15;;
200205;0;23;;
200206;0;28;;
200207;0;27;;
200208;0;22;;
200209;0;13;;
200210;0;7;;
200211;0;6;;
200212;0;7;;
200213;0;9;;
200214;0;9;;
200215;0;11;;
200216;0;9;;
200217;0;11;;
200218;0;12;;
200219;0;12;;
200220;0;16;;
200221;0;26;;
200222;0;17;;
200223;0;5;;
200224;0;8;;
200225;0;9;;
200226;0;10;;
200227;0;7;;
200228;0;10;;
200229;0;7;;
200301;0;4;;
200302;0;5;;
200303;0;13;;
200304;0;9;;
200305;0;12;;
200306;0;11;;
200307;0;9;;
200308;0;9;;
200309;0;21;;
200310;0;;;
200311;0;10;;
200312;0;32;;
200313;0;16;;
200314;0;12;;
200315;0;12;;
200316;0;11;;
200317;0;18;;
200318;0;9;;
200319;0;12;;
200320;0;10;;
200321;0;16;;
200322;0;18;;
200323;0;14;;
200324;0;19;;
200325;0;23;;
200326;0;13;;
200327;0;14;;
200328;0;27;;
200329;0;36;;
200330;0;50;;
200331;0;28;;
200401;0;27;;
200402;0;31;;
200403;0;17;;
200404;0;12;;
200405;0;31;;
200406;0;38;;
200407;0;47;;
200408;0;78;;
200409;0;31;;
200410;0;23;;
200411;0;17;;
200412;0;25;;
200413;0;41;;
200414;0;40;;
200415;0;53;;
200416;0;36;;
200417;0;31;;
200418;0;44;;
200419;0;26;;
200420;0;40;;
200421;0;58;;
200422;0;149;;
200423;0;92;;
200424;0;61;;
200425;0;46;;
200426;0;83;;
200427;0;86;;
200428;0;74;;
200429;0;43;;
200430;0;62;;
200501;0;105;;
200502;0;97;;
200503;0;87;;
200504;0;94;;
200505;0;81;;
200506;0;44;;
200507;0;40;;
200508;0;75;;
200509;0;38;;
200510;0;45;;
200511;0;21;;
200512;0;88;;
200513;0;60;;
200514;0;62;;
200515;0;35;;
200516;0;34;;
200517;0;58;;
200518;0;32;;
200519;0;136;;
200520;0;119;;
200521;0;125;;
200522;0;68;;
200523;0;58;;
200524;0;44;;
200525;0;82;;
200526;0;55;;
200527;0;44;;
200528;0;105;;
200529;0;81;;
200530;0;55;;
200531;0;81;;
200601;0;43;;
200602;0;63;;
200603;0;44;;
200604;0;27;;
200605;0;77;;
200606;0;65;;
200607;0;55;;
200608;0;30;;
200609;0;36;;
200610;0;41;;
200611;0;74;;
200612;0;85;;
200613;0;96;;
200614;0;166;;
200615;0;275;;
200616;0;232;;
200617;0;151;;
200618;0;79;;
200619;0;38;;
200620;0;58;;
200621;0;71;;
200622;0;97;;
200623;0;182;;
200624;0;110;;
200625;0;89;;
200626;0;56;;
200627;0;35;;
200628;0;27;;
200629;0;59;;
200630;0;109;;
200701;0;95;;
200702;0;153;;
200703;0;159;;
200704;0;143;;
200705;0;110;;
