FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;13,3881;;;
160401;0000;139,584;;;
160701;0000;89,4447;;;
161001;0000;19,4312;;;
170101;0000;17,5735;;;
170401;0000;94,4252;;;
170701;0000;75,3902;;;
171001;0000;18,0659;;;
180101;0000;13,186;;;
180401;0000;83,5667;;;
180701;0000;84,6703;;;
181001;0000;18,3;;;
190101;0000;16,1059;;;
190401;0000;64,9753;;;
190701;0000;70,8804;;;
191001;0000;16,4348;;;
200101;0000;12,7791;;;
200401;0000;68,4505;;;
200701;0000;63,9239;;;
201001;0000;12,2609;;;
