FECHA (YYMMDD);Registros validados
160101;851.465
160201;113.713
160301;196.116
160401;998.935
160501;194.515
160601;126.175
160701;120.359
160801;784.396
160901;688.714
161001;304.427
161101;164.524
161201;110.315
170101;12.016
170201;111.727
170301;285.493
170401;676.373
170501;102.29
170601;111.3
170701;99.129
170801;85.25
170901;313.913
171001;260.323
171101;17.1
171201;10.8
180101;788.889
180201;8
180301;224.839
180401;407.333
180501;759.333
180601;134.033
180701;128.516
180801;848.387
180901;376.207
181001;304.839
181101;163.214
181201;790.323
190101;951.852
190201;148.214
190301;232.333
190401;418.667
190501;751.429
190601;809.667
190701;106.71
190801;628.387
190901;421.667
191001;233.226
191101;138.333
191201;120.645
200101;814.815
200201;125.172
200301;17.2
200401;506.667
200501;673.226
200601;87.4
200701;111.871
200801;480.968
200901;307.333
201001;18.129
201101;956.667
201201;9
