FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190101;0000;9,3871;;;
190201;0000;7,85714;;;
190301;0000;10,5806;;;
190401;0000;11,2667;;;
190501;0000;11,2903;;;
190601;0000;11,3333;;;
190701;0000;10,1613;;;
190801;0000;12;;;
190901;0000;13,8966;;;
191001;0000;16,5161;;;
191101;0000;14,6667;;;
191201;0000;12,0968;;;
200101;0000;11,4194;;;
200201;0000;11;;;
200301;0000;14,2;;;
200401;0000;13,1071;;;
200501;0000;12,85;;27,1818;
200601;0000;10,7692;;34,1765;
200701;0000;4,54839;;;
200801;0000;11,4667;;;
200901;0000;16,8571;;;
201001;0000;16,871;;;
201101;0000;12,6786;;;
201201;0000;10,9677;;;
