FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190501;0000;9;;;
190502;0000;12;;;
190503;0000;8;;;
190504;0000;7;;;
190505;0000;12;;;
190506;0000;10;;;
190507;0000;10;;;
190508;0000;5;;;
190509;0000;7;;;
190510;0000;11;;;
190511;0000;14;;;
190512;0000;18;;;
190513;0000;15;;;
190514;0000;7;;;
190515;0000;4;;;
190516;0000;3;;;
190517;0000;13;;;
190518;0000;19;;;
190519;0000;17;;;
190520;0000;14;;;
190521;0000;16;;;
190522;0000;16;;;
190523;0000;14;;;
190524;0000;15;;;
190525;0000;19;;;
190526;0000;15;;;
190527;0000;14;;;
190528;0000;11;;;
190529;0000;7;;;
190530;0000;7;;;
190531;0000;5;;;
190601;0000;5;;;
190602;0000;11;;;
190603;0000;7;;;
190604;0000;8;;;
190605;0000;11;;;
190606;0000;13;;;
190607;0000;18;;;
190608;0000;17;;;
190609;0000;20;;;
190610;0000;19;;;
190611;0000;12;;;
190612;0000;7;;;
190613;0000;6;;;
190614;0000;5;;;
190615;0000;5;;;
190616;0000;4;;;
190617;0000;4;;;
190618;0000;8;;;
190619;0000;11;;;
190620;0000;6;;;
190621;0000;10;;;
190622;0000;16;;;
190623;0000;12;;;
190624;0000;16;;;
190625;0000;16;;;
190626;0000;15;;;
190627;0000;13;;;
190628;0000;10;;;
190629;0000;13;;;
190630;0000;12;;;
190701;0000;15;;;
190702;0000;12;;;
190703;0000;7;;;
190704;0000;8;;;
190705;0000;13;;;
190706;0000;9;;;
190707;0000;7;;;
190708;0000;4;;;
190709;0000;5;;;
190710;0000;5;;;
190711;0000;6;;;
190712;0000;4;;;
190713;0000;6;;;
190714;0000;8;;;
190715;0000;14;;;
190716;0000;14;;;
190717;0000;9;;;
190718;0000;15;;;
190719;0000;17;;;
190720;0000;14;;;
190721;0000;12;;;
190722;0000;15;;;
190723;0000;15;;;
190724;0000;14;;;
190725;0000;9;;;
190726;0000;15;;;
190727;0000;13;;;
190728;0000;8;;;
190729;0000;5;;;
190730;0000;9;;;
190731;0000;11;;;
190801;0000;12;;;
190802;0000;14;;;
190803;0000;16;;;
190804;0000;14;;;
190805;0000;8;;;
190806;0000;16;;;
190807;0000;14;;;
190808;0000;12;;;
190809;0000;15;;;
190810;0000;12;;;
190811;0000;8;;;
190812;0000;10;;;
190813;0000;8;;;
190814;0000;8;;;
190815;0000;12;;;
190816;0000;7;;;
190817;0000;11;;;
190818;0000;14;;;
190819;0000;6;;;
190820;0000;12;;;
190821;0000;9;;;
190822;0000;12;;;
190823;0000;6;;;
190824;0000;10;;;
190825;0000;12;;;
190826;0000;15;;;
190827;0000;12;;;
190828;0000;16;;;
190829;0000;17;;;
190830;0000;16;;;
190831;0000;16;;;
190901;0000;14;;;
190902;0000;10;;;
190903;0000;14;;;
190904;0000;15;;;
190905;0000;12;;;
190906;0000;7;;;
190907;0000;9;;;
190908;0000;12;;;
190909;0000;12;;;
190910;0000;9;;;
190911;0000;13;;;
190912;0000;10;;;
190913;0000;7;;;
190914;0000;14;;;
190915;0000;15;;;
190916;0000;17;;;
190917;0000;17;;;
190918;0000;17;;;
190919;0000;18;;;
190920;0000;18;;;
190921;0000;17;;;
190922;0000;15;;;
190923;0000;15;;;
190924;0000;14;;;
190925;0000;13;;;
190926;0000;8;;;
190927;0000;;;;
190928;0000;17;;;
190929;0000;21;;;
190930;0000;20;;;
191001;0000;17;;;
191002;0000;16;;;
191003;0000;16;;;
191004;0000;19;;;
191005;0000;18;;;
191006;0000;16;;;
191007;0000;19;;;
191008;0000;19;;;
191009;0000;20;;;
191010;0000;16;;;
191011;0000;15;;;
191012;0000;20;;;
191013;0000;20;;;
191014;0000;16;;;
191015;0000;16;;;
191016;0000;13;;;
191017;0000;17;;;
191018;0000;17;;;
191019;0000;17;;;
191020;0000;18;;;
191021;0000;18;;;
191022;0000;16;;;
191023;0000;13;;;
191024;0000;15;;;
191025;0000;15;;;
191026;0000;18;;;
191027;0000;17;;;
191028;0000;9;;;
191029;0000;13;;;
191030;0000;16;;;
191031;0000;17;;;
191101;0000;17;;;
191102;0000;18;;;
191103;0000;20;;;
191104;0000;17;;;
191105;0000;18;;;
191106;0000;18;;;
191107;0000;17;;;
191108;0000;15;;;
191109;0000;13;;;
191110;0000;11;;;
191111;0000;10;;;
191112;0000;10;;;
191113;0000;16;;;
191114;0000;13;;;
191115;0000;16;;;
191116;0000;17;;;
191117;0000;17;;;
191118;0000;16;;;
191119;0000;16;;;
191120;0000;15;;;
191121;0000;14;;;
191122;0000;13;;;
191123;0000;12;;;
191124;0000;15;;;
191125;0000;13;;;
191126;0000;15;;;
191127;0000;13;;;
191128;0000;12;;;
191129;0000;14;;;
191130;0000;14;;;
191201;0000;12;;;
191202;0000;12;;;
191203;0000;12;;;
191204;0000;13;;;
191205;0000;12;;;
191206;0000;10;;;
191207;0000;13;;;
191208;0000;12;;;
191209;0000;12;;;
191210;0000;10;;;
191211;0000;13;;;
191212;0000;11;;;
191213;0000;13;;;
191214;0000;13;;;
191215;0000;14;;;
191216;0000;13;;;
191217;0000;11;;;
191218;0000;13;;;
191219;0000;14;;;
191220;0000;12;;;
191221;0000;13;;;
191222;0000;11;;;
191223;0000;12;;;
191224;0000;12;;;
191225;0000;12;;;
191226;0000;11;;;
191227;0000;12;;;
191228;0000;12;;;
191229;0000;11;;;
191230;0000;12;;;
191231;0000;12;;;
200101;0000;12;;;
